title,artist,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Sweater Weather,The Neighbourhood,2013,124.0,81.0,61.0,-3.0,10.0,40.0,240.0,5.0,3.0,95.0
Bad Habits,Ed Sheeran,2021,126.011,89.3,80.7,-3.745,36.6,53.7,230.747,4.51,3.47,95.0
good 4 u,Olivia Rodrigo,2021,166.928,66.4,56.3,-5.044,8.49,68.8,178.147,33.5,15.4,95.0
Woman,Doja Cat,2021,107.998,76.4,82.39999999999999,-4.175,11.700000000000001,88.1,172.627,8.88,8.540000000000001,95.0
Yonaguni,Bad Bunny,2021,179.951,64.8,64.4,-4.601,13.5,44.0,206.71,27.6,11.799999999999999,94.0
Another Love,Tom Odell,2013,123.0,54.0,45.0,-9.0,9.0,13.0,244.0,70.0,4.0,94.0
Heat Waves,Glass Animals,2021,80.87,52.5,76.1,-6.9,9.21,53.1,238.805,44.0,9.44,94.0
Need to Know,Doja Cat,2021,130.041,60.9,66.4,-6.509,9.26,19.400000000000002,210.56,30.4,7.07,93.0
Blinding Lights,The Weeknd,2020,171.0,73.0,51.0,-6.0,9.0,33.0,200.0,0.0,6.0,93.0
Beggin',Måneskin,2021,134.002,80.0,71.39999999999999,-4.808,35.9,58.9,211.56,12.7,5.04,93.0
Blinding Lights,The Weeknd,2021,171.005,73.0,51.4,-5.934,8.97,33.4,200.04,0.146,5.9799999999999995,93.0
drivers license,Olivia Rodrigo,2021,143.875,43.1,56.10000000000001,-8.81,10.6,13.700000000000001,242.013,76.8,5.779999999999999,92.0
STAY (with Justin Bieber),The Kid LAROI,2021,169.928,76.4,59.099999999999994,-5.484,10.299999999999999,47.8,141.806,3.83,4.83,92.0
traitor,Olivia Rodrigo,2021,100.607,33.900000000000006,38.0,-7.885,12.0,8.49,229.227,69.1,3.38,92.0
Sweater Weather,The Neighbourhood,2021,124.053,80.7,61.199999999999996,-2.81,10.100000000000001,39.800000000000004,240.4,4.95,3.36,92.0
Locked out of Heaven,Bruno Mars,2012,144.0,70.0,73.0,-4.0,31.0,87.0,233.0,5.0,4.0,91.0
Believer,Imagine Dragons,2017,125.0,78.0,78.0,-4.0,8.0,67.0,204.0,6.0,13.0,91.0
lovely (with Khalid),Billie Eilish,2018,115.0,30.0,35.0,-10.0,10.0,12.0,200.0,93.0,3.0,91.0
Lost,Frank Ocean,2012,123.0,60.0,91.0,-5.0,17.0,50.0,234.0,3.0,23.0,91.0
Locked out of Heaven,Bruno Mars,2012,144.0,70.0,73.0,-4.0,31.0,87.0,233.0,5.0,4.0,91.0
lovely (with Khalid),Billie Eilish,2018,115.0,30.0,35.0,-10.0,10.0,12.0,200.0,93.0,3.0,91.0
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021,90.03,69.6,67.7,-6.181,42.0,46.400000000000006,198.082,32.1,11.899999999999999,90.0
Save Your Tears,The Weeknd,2021,118.051,82.6,68.0,-5.487,54.300000000000004,64.4,215.627,2.12,3.09,90.0
Watermelon Sugar,Harry Styles,2021,95.39,81.6,54.800000000000004,-4.209,33.5,55.7,174.0,12.2,4.65,90.0
MONTERO (Call Me By Your Name),Lil Nas X,2021,178.781,50.3,59.3,-6.725,40.5,71.0,137.704,29.299999999999997,22.0,90.0
